PrimaryKey,YearVisited
CO_SWDO_Fuels_2022_Sapinero_Mesa-1_V12023-09-01,2023
OR_VADO_ESR_2023_BIG_GRASSY_NR-04_V42023-09-01,2023
MT_NCMD_LUP_2022_COMB-006_V22023-09-01,2023
AZ_SFO_LUP_2021_SFO2021-135_V12023-09-01,2023
NM_FFO_FUELS_TRGT_2023_TankMountain-2_V12023-09-01,2023
UT_WDDO_HAF_2022_WDDOHAF2022-NR-030_V12023-09-01,2023
CO_UFO_LUP_2023_UFO2023-014_V22023-09-01,2023
CA_NCDO_LUP_2019_Observation388_V22023-09-01,2023
WY_WFO_LUP_2022_WFO2022-056_V22023-09-01,2023
CO_RGFO_LUP_2022_RA-032_V12023-09-01,2023
WY_RFO_LUP_2021_RFO2021-108_V22023-09-01,2023
20233215202503B2,2023
ID_BFO_LUP_2022_BigWD-087_V22023-09-01,2023
MT_BIFO_LUP_2023_UYPP-fLo-50_V12023-09-01,2023
NM_SFO_LUP_2020_GRVL-224_V12023-09-01,2023
20231637105404B2,2023
UT_VFO_LUP_2022_HAB-041_V12023-09-01,2023
UT_SLFO_ESR_2023_BS-1_V12023-09-01,2023
20235637103915B2,2023
MT_DFO_WTRSHD_2023_MD-001_V22023-09-01,2023
CA_CDCA_LUP_2022_CRCD2022-NR-050_V12023-09-01,2023
ID_BFO_LUP_2022_Black-NR-002_V12023-09-01,2023
AZ_LHFO_Group1_2023_LHFO2023-030_V12023-09-01,2023
NM_CFO_FUELS_TRGT_2023_Fuels_5_V12023-09-01,2023
MT_DFO_WTRSHD_2023_SC-043_V12023-09-01,2023
CO_WRFO_LUP_2021_WRFO2021-136_V32023-09-01,2023
MT_DFO_WTRSHD_2023_SC-016_V22023-09-01,2023
WY_COFO_LUP_2022_COFO2022-032_V12023-09-01,2023
MT_NCMD_LUP_2022_MLT-095_V12023-09-01,2023
20233513201308B2,2023
ID_OFO_AIMTrend_2023_05S05W19A_V12023-09-01,2023
CO_TRFO_LUP_2023_TRFO2023-044_V22023-09-01,2023
ID_SHFO_LUP_2023_OT-007_V22023-09-01,2023
WY_RSFO_LUP_2023_RSFO2023-008_V22023-09-01,2023
CO_GJFO_LUP_2021_GJFO2021-070_V22023-09-01,2023
CA_NCDO_LUP_2019_NORCALRV1354_V12023-09-01,2023
MT_MCFO_LUP_2023_MCFO2022-122_V12023-09-01,2023
MT_NCMD_LUP_2022_NWB-349_V12023-09-01,2023
NM_RPFO_LUP_2022_RPFO2022-095_V12023-09-01,2023
ID_BFO_LUP_2022_LowCM-177_V12023-09-01,2023
NM_FFO_FUELS_TRGT_2023_WestNavajo-1_V12023-09-01,2023
ID_PFO_LUP_2023_PFO2023-037_V22023-09-01,2023
WY_RSFO_RC_2023_RSFO2023-RC-2-03_V12023-09-01,2023
OR_MEDO_CSNM_2023_GRIZZ-10_V12023-09-01,2023
20235617102609B2,2023
2023625200802B2,2023
ID_JFO_LUP_2023_AS2023-002_V22023-09-01,2023
2023329204704B2,2023
ID_JFO_LUP_2023_BSWD2023-006_V22023-09-01,2023
OR_LVFOPAC_2021_BE-010_V12023-09-01,2023
NM_RFO_LUP_2023_RFO2023-NR-013_V12023-09-01,2023
MT_DFO_WTRSHD_2023_SC-019_V22023-09-01,2023
WY_BFO_LUP_2022_BFO2022-NR-058_V12023-09-01,2023
20235637107617B2,2023
UT_RFO_LUP_2023_RFO2023-NR-003_V12023-09-01,2023
20233211102719B2,2023
2023629204314B2,2023
ID_OFO_AIMTrend_2023_06S04W35_V12023-09-01,2023
CA_NCDO_LUP_2019_NORCALRVOS1011_V12023-09-01,2023
20231633106913B2,2023
20235623103814B2,2023
AZ_KFO_LUP_2021_KFO2021-053_V12023-09-01,2023
MT_BIFO_LUP_2023_INT-PMWH-tnWd-062_V12023-09-01,2023
AZ_ASDO_LUP_2021_ASDO2021-182_V12023-09-01,2023
OR_MFO_2021_MFO2021-267_V12023-09-01,2023
NM_LCDO_Allotments_2023_01084_R042BB014NM_V12023-09-01,2023
ID_OFO_LUP_2022_LowWD-2022-NR-003_V12023-09-01,2023
OR_WFO_ESR_2023_WA_ESR_BZ-3-5_V32023-09-01,2023
20231613200418B2,2023
WY_LFO_LUP_2022_LFO2022-062_V12023-09-01,2023
UT_CoCDO_INTS_HPV_2023_Hamlin_PineValley2023-20_V12023-09-01,2023
23052312011949792023-09-01,2023
UT_RFO_LUP_2023_RFO2023-002_V12023-09-01,2023
ID_BDO_TriStateFuels_2023_FY23-019_V12023-09-01,2023
NM_SFO_LUP_2020_FUP-173_V12023-09-01,2023
ID_CHFO_LUP_2023_CHFO2023-NR-008_V12023-09-01,2023
WY_CAFO_TARGETED_2023_CAFO2023-T-07_V12023-09-01,2023
WY_RSFO_RC_2023_RSFO2023-RC-1-04_V12023-09-01,2023
UT_WDDO_HAF_2022_WDDOHAF2022-NR-027_V12023-09-01,2023
WY_CAFO_LUP_2022_CAFO2022-024_V22023-09-01,2023
CA_BKFO_ESR_2023_FrenchBurned-11_V12023-09-01,2023
2023821200513B2,2023
20231673104305B1,2023
20234137241825B2,2023
OR_MFO_2021_MFO2021-249_V22023-09-01,2023
OR_LVFO_2021_LFO2021-167_V22023-09-01,2023
AZ_LSFO_LUP_2022_LSFO2022-033_V12023-09-01,2023
MT_SDFO_LUP_2022_SDFO2022-086_V12023-09-01,2023
AZ_ASDO_LUP_2021_ASDO2021-140_V12023-09-01,2023
UT_CCFO_LUP_2017_MS-233_V12023-09-01,2023
CO_KFO_LUP_2021_KFO2021-154_V12023-09-01,2023
20233233105306B2,2023
OR_VADO_ESR_2023_IndianCrk_NR-03_V22023-09-01,2023
20233215202817B1,2023
AZ_KFO_LUP_2021_KFO2021-062_V12023-09-01,2023
WY_RSFO_LUP_2023_RSFO2023-048_V22023-09-01,2023
20233233110113B2,2023
CO_GJFO_LUP_2021_GJFO2021-064_V22023-09-01,2023
